;уникальный номер;пол;age;raion;fio
28815;101358819;0;63;10;Альбовская Оксана Ринатовна
28817;101372563;0;68;53;Гнедова Маргарита Вадимовна
28818;101425539;0;76;132;Савинкина Гульнара Артемовна
28820;101352193;0;70;7;Иринархова Альбина Денисовна
28821;101439955;0;56;110;Сухина Раиса Яновна
28822;101449387;0;55;133;Матина Александра Анатольевна
28823;101418029;0;60;33;Славская Наталья Робертовна
28824;101421976;0;70;91;Буровская Кира Станиславовна
28825;101360262;0;87;56;Шонина Александра Радиковна
28826;101403956;0;67;98;Белотелова Валентина Радиковна
28827;101412125;0;58;33;Мамеева Наталья Юрьевна
28828;101436725;0;65;137;Гонопольская Любовь Владимировна
28829;101362584;0;83;5;Нужина Полина Игоревна
28830;101359806;0;81;30;Артомонова Алиса Дмитриевна
28831;101410484;0;65;30;Званцова Валентина Кирилловна
28833;101394583;0;83;55;Рыпинская Валентина Петровна
28834;101425211;0;69;15;Феногенова Любовь Денисовна
28835;101398249;0;65;54;Егорочкина Екатерина Юрьевна
28836;101361528;0;68;34;Теплинская Ирина Юрьевна
28837;101393109;0;71;58;Тимурова Антонина Ивановна
28838;101442529;0;61;84;Нахабина Вероника Максимовна
28839;101414529;0;58;99;Крапивина Кристина Филипповна
28840;101447405;0;66;0;Ныркова Алина Альбертовна
28841;101409352;0;74;116;Парфеньева Ксения Ринатовна
28842;101348644;0;76;113;Хавкина Евгения Михаиловна
28843;101446531;0;83;77;Иванюкова Наталья Артуровна
28844;101448442;0;63;8;Черюканова Анжелика Васильевна
28845;101385010;0;64;32;Сысолятина Маргарита Яновна
28846;101431177;0;58;89;Жадовская Алина Маратовна
28847;101435279;0;79;133;Телешова Эльмира Дмитриевна
28848;101416599;0;74;108;Шуляк Кристина Альбертовна
28849;101389159;0;63;22;Лысякова Ксения Романовна
28850;101390612;0;80;89;Кутякова Александра Артуровна
28851;101384666;0;74;134;Ярцева Кира Петровна
28852;101385915;0;63;15;Тагирбекова Людмила Михаиловна
28853;101382971;0;61;83;Мачихина Анжелика Артемовна
28854;101390662;0;65;99;Лагаева Карина Тимофеевна
28855;101414230;0;67;110;Темиргалиева Альбина Егоровна
28856;101408544;0;65;103;Галкова Марина Борисовна
28857;101369989;0;61;77;Хоненева Оксана Борисовна
28858;101398142;0;67;132;Познышева Мария Вячеславовна
28859;101359318;0;76;101;Старозубова Жанна Аркадьевна
28860;101395079;0;70;53;Рыбник Анжелика Артемовна
28861;101351633;0;66;73;Тикшаева Эльвира Вячеславовна
28862;101450772;0;62;81;Возницына Гульнара Юрьевна
28863;101354130;0;77;107;Долгорожева Евгения Викторовна
28864;101419285;0;69;75;Иняшева Гульнара Глебовна
28865;101431770;0;59;8;Лутова Наталья Васильевна
28866;101411212;0;73;5;Ильинична Галина Владиславовна
28867;101350852;0;73;9;Арская Тамара Ильдаровна
28868;101382535;0;59;83;Хаева Лилия Викторовна
28869;101431232;0;67;81;Альтовская Полина Валерьевна
28870;101378638;0;70;60;Эркенова Анастасия Вадимовна
28871;101446263;0;61;28;Шокина Елена Игоревна
28872;101359273;0;84;73;Колобродова Ангелина Ивановна
28873;101445676;0;87;101;Шатнева Алина Николаевна
28874;101373502;0;65;52;Галяутдинова Эльмира Альбертовна
28875;101427506;0;62;76;Ахмедсафина Алина Валентиновна
28876;101392898;0;76;105;Коломоец Диана Антоновна
28877;101431083;0;85;56;Туча Светлана Николаевна
28878;101446916;0;60;20;Чеверова Елизавета Александровна
28879;101357110;0;73;13;Фатнева Галина Антоновна
28880;101427559;0;65;37;Сашина Алла Андреевна
28881;101413324;0;66;32;Рудановская Анна Георгиевна
28883;101353479;0;65;64;Холщевникова Надежда Егоровна
28884;101439338;0;75;129;Неусыхина Оксана Григорьевна
28885;101393388;0;65;4;Адырбекова Евгения Викторовна
28886;101396262;0;61;47;Храпачева Эльмира Кирилловна
28887;101398056;0;78;111;Жилинская Лариса Радиковна
28888;101408887;0;61;56;Курлова Анжелика Владимировна
28889;101361552;0;62;34;Аркадова Валентина Дамировна
28890;101446444;0;71;5;Фаткина Валентина Федоровна
28891;101420078;0;74;54;Лушина Марина Михаиловна
28893;101380656;0;64;14;Нурутдинова Анастасия Ефимовна
28894;101382415;0;65;81;Андрющенко Римма Романовна
28895;101405343;0;73;87;Сенькива Оксана Вячеславовна
28896;101348222;0;68;121;Митряева Ирина Борисовна
28897;101431546;0;74;41;Вольнова Александра Сергеевна
28898;101377922;0;62;25;Морина Полина Романовна
28899;101423920;0;58;73;Яборова Марина Германовна
28900;101368713;0;55;111;Сирхаева Татьяна Марселевна
28901;101389164;0;75;47;Янюшина Кира Владимировна
28902;101378095;0;70;102;Кичина Полина Борисовна
28903;101396087;0;59;24;Рагимова Лилия Николаевна
28904;101354024;0;74;108;Бурая Любовь Валентиновна
28905;101427804;0;66;79;Черепкова Валерия Глебовна
28906;101388178;0;64;8;Шакарова Карина Рамилевна
28907;101374254;0;62;67;Вайванцева Эльмира Дмитриевна
28908;101382647;0;67;73;Ватулина Антонина Семеновна
28909;101413160;0;74;9;Генкина Евгения Марселевна
28910;101417044;0;68;86;Янушкина Ирина Геннадьевна
28911;101394155;0;71;96;Блюсова Элина Филипповна
28912;101376387;0;65;29;Остропятова Инна Георгиевна
28913;101368387;0;61;106;Даренская Тамара Николаевна
28916;101382785;0;73;99;Яшаева Алиса Артуровна
28917;101368590;0;69;45;Бабакова Светлана Тимуровна
28918;101351381;0;67;60;Пузаткина Любовь Владимировна
28919;101406200;0;61;75;Мусина Лилия Дамировна
28920;101445278;0;59;107;Косаткина Алиса Ефимовна
28921;101408701;0;64;79;Плаутина Кристина Владиславовна
28922;101391144;0;58;113;Шмагина Элина Степановна
28923;101411999;0;62;33;Лапко Светлана Аркадьевна
28924;101414359;0;58;127;Мятлина Дарья Маратовна
28925;101402695;0;62;122;Ларкина Тамара Тимуровна
28926;101353946;0;82;137;Рапидова Елена Васильевна
28927;101395940;0;64;100;Кононенкова Ксения Степановна
28928;101391475;0;68;133;Дедикова Лариса Викторовна
28929;101378192;0;62;110;Пореченкова Валентина Даниловна
28930;101431698;0;68;67;Ленникова Елизавета Семеновна
28931;101394153;0;85;89;Медоварцева Анжелика Эдуардовна
28932;101450614;0;71;61;Данюшевская Ангелина Андреевна
28933;101443398;0;62;55;Дерина Лариса Викторовна
28934;101373620;0;69;19;Бабикова Гульнара Яковлевна
28935;101429286;0;66;73;Николаенкова Любовь Алексеевна
28936;101364519;0;62;15;Ахмисева Екатерина Никитовна
28937;101388947;0;73;22;Перикова Инна Игоревна
28938;101357949;0;83;21;Шкуренко Алена Георгиевна
28939;101395200;0;59;59;Астанкина Гульнара Алексеевна
28940;101440723;0;81;6;Чайковская Людмила Геннадьевна
28941;101411615;0;63;81;Липская Анжелика Валентиновна
28943;101384876;0;64;111;Назарук Эльмира Филипповна
28944;101434681;0;63;8;Фадейчева Людмила Семеновна
28945;101361153;0;71;21;Бурджалова Тамара Викторовна
28946;101412992;0;75;101;Крупенина Алла Петровна
28947;101358419;0;62;33;Гольданская Надежда Марселевна
28948;101420589;0;63;96;Горюшкина Инна Кирилловна
28949;101385541;0;71;108;Скоролупова Тамара Олеговна
28950;101395033;0;63;79;Болдырева Элина Степановна
28951;101350546;0;62;82;Коробицина Екатерина Алексеевна
28952;101355478;0;64;54;Башкаева Кристина Валентиновна
28953;101435848;0;59;137;Казачковская Ксения Николаевна
28954;101355793;0;61;124;Лындяева Маргарита Александровна
28955;101398343;0;62;130;Авершина Валерия Васильевна
28956;101391764;0;73;33;Махарова Маргарита Игоревна
28957;101393271;0;64;92;Савкина Олеся Семеновна
28958;101377107;0;59;42;Галикеева Анастасия Артуровна
28959;101372289;0;64;14;Рузанская Римма Георгиевна
28960;101398448;0;65;45;Бибилова Светлана Юрьевна
28961;101448541;0;63;111;Алейникова Надежда Владимировна
28963;101361744;0;70;7;Портнова Валентина Григорьевна
28964;101387749;0;82;137;Шпакова Лилия Дамировна
28965;101378382;0;69;46;Фросина Маргарита Вадимовна
28966;101408109;0;69;79;Неизвестных Раиса Альбертовна
28968;101429896;0;65;60;Концевая Ольга Федоровна
28969;101366221;0;74;8;Чебанова Оксана Рамилевна
28970;101347186;0;62;60;Дунаевская Антонина Федоровна
28972;101415691;0;69;29;Хлабыстова Надежда Степановна
28973;101396652;0;64;5;Татищева Екатерина Кирилловна
28974;101427557;0;69;24;Сысуева Диана Владиславовна
28975;101400561;0;80;53;Пачева Олеся Вячеславовна
28976;101392486;0;65;132;Глоткова Виктория Юрьевна
28977;101444553;0;70;35;Грязина Наталья Степановна
28979;101374252;0;68;56;Петешева Виктория Павловна
28981;101352050;0;63;58;Пикова Евгения Вячеславовна
28982;101387406;0;76;31;Роянова Марина Ильинична
28985;101354967;0;77;91;Авлашкина Алла Вадимовна
28986;101444833;0;58;133;Сталина Раиса Глебовна
28987;101365730;0;72;110;Будыльская Раиса Николаевна
28988;101391399;0;68;22;Федосенко Лариса Анатольевна
28989;101420652;0;69;73;Шухмина Диана Никитовна
28990;101366593;0;85;30;Рязанова Анна Рамилевна
28991;101353403;0;68;6;Бучинская Надежда Петровна
28992;101374038;0;62;0;Гуголева Светлана Ильдаровна
28993;101358586;0;60;86;Вышнякова Анжелика Ивановна
28994;101386232;0;73;72;Кербикова Валерия Анатольевна
28996;101441459;0;58;91;Ханюкова Светлана Максимовна
28997;101403083;0;67;32;Кутявина Раиса Артуровна
28999;101437823;0;63;101;Гузовская Диана Маратовна
29000;101389521;0;75;125;Байрамгулова Ольга Эдуардовна
29001;101447004;0;57;59;Помещикова Надежда Юрьевна
29002;101437236;0;74;136;Хитева Олеся Игоревна
29003;101443237;0;61;20;Желнинская Алиса Сергеевна
29004;101361036;0;75;112;Кобищанова Александра Валерьевна
29006;101404832;0;62;54;Мозгова Ангелина Владиславовна
29007;101371285;0;72;73;Такмакова Карина Алексеевна
29009;101397581;0;65;116;Урусевская Алла Геннадьевна
29010;101446664;0;68;24;Подыминогина Елизавета Васильевна
29011;101394150;0;59;32;Балясина Альбина Ильдаровна
29012;101434372;0;63;79;Каргальскова Светлана Геннадьевна
29013;101416637;0;58;131;Безродняя Елена Вячеславовна
29014;101418005;0;62;98;Жагренкова Диана Ильдаровна
29015;101419638;0;63;20;Трескина Юлия Ильинична
29016;101377001;0;67;125;Бачкуринская Антонина Филипповна
29017;101356923;0;70;123;Чуваткина Алла Ринатовна
29018;101400980;0;67;79;Худобашева Александра Тимофеевна
29019;101373685;0;63;33;Банщикова Надежда Марселевна
29020;101350015;0;79;120;Шовыркина Кира Константиновна
29021;101426676;0;64;132;Юшневская Юлия Вадимовна
29022;101356042;0;64;22;Питонова Кира Владиславовна
29025;101427259;0;63;73;Лукьянцева Эльмира Сергеевна
29026;101361937;0;61;20;Гривенникова Алина Борисовна
29027;101411674;0;63;80;Валухина Карина Руслановна
29028;101364527;0;68;122;Полоскова Татьяна Георгиевна
29029;101434991;0;67;124;Аширбаева Наталья Алексеевна
29030;101350769;0;64;74;Манзюк Диана Вадимовна
29031;101356317;0;75;18;Павлухина Алена Альбертовна
29032;101394538;0;66;132;Ласина Галина Валентиновна
29033;101417022;0;67;96;Воробец Ирина Ивановна
29034;101366809;0;70;32;Тесленко Олеся Алексеевна
29035;101361625;0;68;64;Сулина Ольга Антоновна
29036;101404315;0;54;114;Легких Валерия Яковлевна
29037;101422068;0;66;30;Злобова Дарья Германовна
29038;101398780;0;64;73;Аравина Эльмира Артемовна
29040;101364835;0;77;35;Комшилова Евгения Станиславовна
29041;101420961;0;64;76;Горовикова Антонина Геннадьевна
29042;101437093;0;71;83;Правда Вероника Марселевна
29043;101388284;0;67;136;Балобина Светлана Максимовна
29044;101424438;0;60;100;Скобова Наталья Вячеславовна
29046;101414627;0;67;60;Парашкова Эльвира Дамировна
29047;101355956;0;81;30;Ишмухаметова Наталья Сергеевна
29048;101346649;0;67;47;Чичерина Ангелина Дмитриевна
29049;101367311;0;69;107;Марговская Тамара Васильевна
29051;101349234;0;64;107;Ключенкова Олеся Леонидовна
29052;101441072;0;58;77;Уранова Анастасия Петровна
29053;101373558;0;61;81;Сенюрина Марина Валентиновна
29054;101382087;0;71;34;Шафранская Карина Ефимовна
29055;101447354;0;68;14;Зимовцева Ангелина Олеговна
29056;101394550;0;66;24;Гмыря Алиса Ильинична
29057;101386875;0;74;10;Венцова Ксения Владимировна
29058;101420316;0;63;117;Турковская Олеся Вадимовна
29059;101377779;0;71;31;Безрученко Елена Валентиновна
29060;101450446;0;60;100;Жумабекова Лилия Ивановна
29061;101420503;0;65;36;Прозорова Диана Леонидовна
29062;101445689;0;58;36;Протодьяконова Людмила Глебовна
29063;101365078;0;78;111;Мартышкина Татьяна Тимуровна
29066;101386562;0;73;41;Гарнаева Ангелина Сергеевна
29067;101445469;0;56;86;Войтенкова Юлия Марселевна
29068;101385998;0;64;131;Гурилева Ирина Юрьевна
29069;101362793;0;64;60;Глушенкова Ирина Станиславовна
29070;101426134;0;68;121;Хаметшина Алена Даниловна
29071;101425764;0;76;70;Шнякина Алиса Анатольевна
29072;101384261;0;68;34;Люлько Надежда Тимуровна
29073;101374273;0;62;58;Ишмухамедова Альбина Яновна
29074;101438672;0;71;96;Ашлапова Светлана Никитовна
29075;101349325;0;78;83;Алчевская Евгения Станиславовна
29076;101437232;0;69;83;Долматова Анна Владиславовна
29077;101445936;0;57;0;Типанова Елизавета Валерьевна
29078;101372650;0;60;100;Юнанова Альбина Германовна
29079;101412418;0;60;98;Неизвестных Алла Станиславовна
29081;101442227;0;66;33;Зорич Тамара Игоревна
29082;101391145;0;75;110;Кирикова Анжелика Ярославовна
29083;101425897;0;67;98;Калломийцева Мария Андреевна
29084;101427835;0;63;94;Каташова Элина Радиковна
29085;101383239;0;65;24;Бартенева Антонина Никитовна
29087;101404385;0;69;114;Кононова Оксана Олеговна
29088;101371295;0;68;31;Федулева Виктория Петровна
29089;101430123;0;56;58;Аксенцева Светлана Аркадьевна
29090;101393598;0;85;30;Степанчук Елизавета Леонидовна
29091;101347840;0;82;132;Алимкина Александра Юрьевна
29092;101400480;0;65;25;Явлинская Ирина Вячеславовна
29093;101419240;0;61;87;Северцова Оксана Борисовна
29094;101445122;0;76;120;Тегаева Дарья Егоровна
29095;101404741;0;66;127;Трепашева Яна Семеновна
29096;101353942;0;70;112;Бешимова Вероника Владиславовна
29097;101414382;0;62;17;Туренко Ангелина Владимировна
29098;101399724;0;86;108;Кокшенова Валерия Германовна
29099;101408932;0;76;50;Любавцева Алина Максимовна
29100;101402264;0;64;23;Запорожец Альбина Павловна
29101;101404816;0;80;13;Вашина Ольга Станиславовна
29102;101362640;0;61;41;Хрустовская Римма Анатольевна
29103;101423515;0;67;107;Кожухова Кристина Валентиновна
29104;101377314;0;71;3;Гетигежева Алиса Степановна
29105;101379336;0;64;9;Недошивина Ксения Евгеньевна
29106;101405432;0;81;137;Швырева Анжелика Степановна
29107;101430679;0;64;58;Аннина Татьяна Никитовна
29108;101415087;0;61;113;Телескопова Юлия Геннадьевна
29109;101366305;0;74;41;Бельтюкова Светлана Эдуардовна
29110;101349851;0;63;113;Яхнова Ангелина Степановна
29111;101417286;0;64;77;Зингер Евгения Вячеславовна
29113;101364672;0;89;121;Марасакина Альбина Владимировна
29114;101387293;0;67;34;Загоскина Валентина Аркадьевна
29115;101375502;0;74;5;Феодорова Ксения Тимофеевна
29116;101433094;0;60;34;Аронина Алина Михаиловна
29117;101392814;0;65;40;Левша Александра Германовна
29118;101359320;0;68;89;Гареева Марина Даниловна
29119;101365241;0;63;56;Перевертова Элина Витальевна
29120;101350808;0;73;41;Верхотурцева Тамара Леонидовна
29121;101357090;0;71;127;Шаяхметова Юлия Денисовна
29122;101398865;0;69;83;Сарбаева Элина Дмитриевна
29123;101417928;0;76;76;Башкиркина Лариса Семеновна
29124;101448373;0;56;22;Еоахтина Алена Степановна
29126;101397271;0;74;129;Братякина Александра Юрьевна
29128;101355931;0;66;126;Мудрова Инна Ефимовна
29129;101357813;0;68;125;Дороничева Елена Максимовна
29130;101347309;0;68;56;Туренина Олеся Андреевна
29131;101379677;0;70;11;Махновская Алиса Рамилевна
29132;101358438;0;65;123;Ивашиненко Инна Радиковна
29133;101394806;0;66;133;Болхова Альбина Игоревна
29134;101351964;0;82;137;Олухнова Ольга Глебовна
29135;101399419;0;60;133;Азовцева Алена Геннадьевна
29136;101426369;0;68;81;Багаутдинова Раиса Георгиевна
29137;101370887;0;70;56;Мошковская Надежда Романовна
29138;101435226;0;67;56;Жыланбаева Оксана Эдуардовна
29139;101445478;0;61;22;Полевикова Кристина Федоровна
29140;101391803;0;63;122;Трубачева Анна Денисовна
29141;101398945;0;59;22;Безтгялова Надежда Эдуардовна
29142;101374397;0;71;15;Катревич Алиса Владимировна
29143;101415960;0;69;17;Ужегова Алена Ивановна
29144;101368047;0;68;13;Матошина Гульнара Рамилевна
29145;101374877;0;60;129;Брюхачева Любовь Алексеевна
29146;101410211;0;66;15;Туровская Любовь Игоревна
29147;101427053;0;58;64;Ефтефеева Алла Ильинична
29149;101406141;0;58;130;Лытаева Диана Евгеньевна
29150;101357424;0;67;24;Сидоршина Ксения Руслановна
29151;101387140;0;68;81;Яронская Алла Григорьевна
29152;101362668;0;72;66;Разносщикова Карина Валентиновна
29153;101361455;0;70;0;Даренская Кристина Германовна
29154;101444021;0;68;90;Пекунова Кира Вадимовна
29155;101419100;0;69;90;Троняева Анжелика Ефимовна
29157;101380601;0;65;32;Веревкина Маргарита Тимофеевна
29158;101394917;0;67;75;Аллимова Альбина Алексеевна
29159;101354168;0;81;91;Тамаровская Антонина Михаиловна
29160;101415519;0;73;81;Семеикина Ирина Руслановна
29161;101441932;0;72;61;Бызова Анна Михаиловна
29162;101407028;0;69;56;Злобкина Татьяна Михаиловна
29163;101432673;0;57;110;Почивалова Анастасия Кирилловна
29164;101407735;0;62;60;Клосовская Ангелина Вадимовна
29165;101376189;0;77;134;Ходкина Лидия Тимуровна
29167;101445042;0;63;61;Богаутдинова Диана Романовна
29168;101395534;0;72;8;Невельская Лидия Никитовна
29169;101405663;0;59;116;Алиева Елена Артемовна
29170;101402602;0;63;36;Позднякова Маргарита Валерьевна
29171;101362438;0;61;56;Серко Людмила Григорьевна
29172;101418495;0;60;36;Дерикорчма Алиса Эдуардовна
29173;101441441;0;63;44;Сторожихина Инна Германовна
29174;101377622;0;64;108;Дюригина Мария Викторовна
29176;101446190;0;56;110;Ивашко Светлана Викторовна
29177;101402220;0;59;90;Аржакова Эльвира Денисовна
29178;101403060;0;70;15;Мазовская Лариса Марселевна
29179;101386208;0;70;0;Бежанова Диана Глебовна
29180;101449410;0;51;22;Житова Антонина Максимовна
29182;101374453;0;65;106;Теляковская Елизавета Вадимовна
29183;101361514;0;73;46;Ивличева Ольга Петровна
29184;101440120;0;66;10;Титоренко Евгения Аркадьевна
29185;101427132;0;67;10;Забылина Раиса Егоровна
29186;101403948;0;60;91;Зловидова Эльвира Филипповна
29187;101448479;0;72;71;Сасова Гульнара Алексеевна
29188;101404738;0;62;20;Гузина Инна Даниловна
29189;101398500;0;67;132;Ганичева Ангелина Александровна
29191;101381957;0;61;22;Боровская Лидия Ивановна
29192;101396904;0;69;96;Балагурова Раиса Яновна
29193;101361517;0;71;137;Косенкова Мария Робертовна
29194;101357342;0;82;4;Змиевская Яна Эдуардовна
29195;101449470;0;76;54;Тришкина Элина Романовна
29196;101404775;0;59;124;Намазова Карина Игоревна
29197;101409615;0;71;33;Мингалеева Дарья Валерьевна
29198;101374692;0;63;12;Суичмезова Анастасия Семеновна
29199;101405950;0;63;125;Горбенкова Евгения Никитовна
29200;101403726;0;60;98;Ревва Яна Рамилевна
29202;101375064;0;74;89;Линевская Ольга Никитовна
29203;101435397;0;59;114;Крайняк Елена Руслановна
29206;101404594;0;61;123;Якина Ольга Ильинична
29208;101410253;0;81;8;Луферова Надежда Владимировна
29209;101447696;0;69;89;Свистельникова Карина Ринатовна
29210;101356146;0;67;131;Оберучева Анна Тимофеевна
29211;101359864;0;76;76;Грачкова Альбина Георгиевна
29212;101398887;0;66;65;Шемякова Маргарита Вячеславовна
29213;101358071;0;72;6;Зеленцова Инна Леонидовна
29214;101350286;0;66;7;Михалкина Лариса Маратовна
29216;101380858;0;67;13;Лукьянчикова Елизавета Ильдаровна
29217;101355808;0;63;20;Аблякимова Антонина Марселевна
29218;101399619;0;59;55;Коковихина Элина Тимофеевна
29219;101382957;0;60;114;Дзесова Римма Юрьевна
29220;101353808;0;61;107;Тасмагамбетова Кира Федоровна
29221;101410366;0;58;28;Грановская Лидия Альбертовна
29222;101427733;0;57;43;Азбергенова Надежда Петровна
29223;101353185;0;67;42;Бугайская Ирина Радиковна
29224;101450488;0;71;34;Кудрякова Екатерина Леонидовна
29225;101378313;0;76;126;Барабашина Диана Павловна
29226;101383867;0;68;25;Раисова Оксана Никитовна
29227;101401005;0;65;73;Безгодкова Юлия Федоровна
29228;101374461;0;69;11;Журило Полина Глебовна
29229;101362098;0;66;28;Босолаева Эльвира Германовна
29230;101409534;0;75;36;Качурова Алиса Михаиловна
29231;101363217;0;65;19;Глазырина Римма Антоновна
29232;101349761;0;75;48;Нерман Элина Даниловна
29233;101397469;0;60;79;Горлова Анжелика Ильдаровна
29234;101437274;0;59;106;Маркушкина Анжелика Олеговна
29236;101381502;0;67;58;Дурандина Алиса Денисовна
29237;101366814;0;81;105;Часоводова Светлана Александровна
29239;101428566;0;69;55;Малахова Ольга Сергеевна
29240;101411939;0;59;10;Дедикова Олеся Ринатовна
29241;101355072;0;65;125;Кривощапова Алла Романовна
29244;101357759;0;72;36;Компаниец Олеся Руслановна
29245;101414839;0;59;5;Малинникова Вероника Григорьевна
29246;101393647;0;69;36;Урих Виктория Васильевна
29247;101366398;0;70;58;Брежнева Анжелика Михаиловна
29248;101353765;0;64;1;Крупина Валерия Яновна
29249;101369271;0;67;73;Братолюбова Эльвира Дмитриевна
29250;101368293;0;71;13;Султанкулова Ольга Валерьевна
29252;101357555;0;67;62;Промыслова Юлия Артуровна
29253;101426863;0;67;33;Садакова Раиса Борисовна
29254;101368192;0;69;22;Албутова Екатерина Валерьевна
29255;101406291;0;67;103;Буряшкина Тамара Алексеевна
29256;101431276;0;65;125;Резанцева Жанна Марселевна
29257;101449240;0;74;116;Нечепуренко Любовь Ильдаровна
29258;101426383;0;58;96;Акаева Ольга Альбертовна
29259;101395843;0;80;66;Горихвосткова Алина Дамировна
29260;101448040;0;56;61;Курбакова Дарья Рамилевна
29262;101357834;0;74;65;Эстрина Ангелина Васильевна
29263;101378922;0;71;67;Цомартова Альбина Егоровна
29265;101394233;0;68;96;Безухова Эльвира Тимофеевна
29266;101389624;0;75;0;Камчатова Елена Максимовна
29267;101384767;0;71;24;Самарянина Тамара Эдуардовна
29268;101403173;0;61;73;Кочубеева Алена Кирилловна
29269;101351851;0;74;6;Пьянова Юлия Германовна
29270;101420526;0;76;98;Кочиева Ирина Анатольевна
29271;101401434;0;64;62;Евтушенко Олеся Валерьевна
29272;101449696;0;70;61;Абрамчук Виктория Маратовна
29273;101443625;0;62;96;Пружанская Ирина Станиславовна
29274;101391583;0;62;137;Горбышева Инна Вячеславовна
29275;101350311;0;76;8;Браткова Римма Маратовна
29276;101354336;0;64;89;Угнивенко Гульнара Ильинична
29277;101366970;0;63;125;Абдужабарова Ксения Петровна
29278;101429462;0;73;53;Дусинская Гульнара Руслановна
29279;101403626;0;68;17;Луковская Юлия Георгиевна
29281;101425035;0;69;7;Святкина Лидия Тимофеевна
29282;101360558;0;63;36;Бузенкова Валерия Ильдаровна
29283;101403805;0;68;45;Ишмуратова Вероника Анатольевна
29284;101433825;0;57;67;Бушанова Мария Валентиновна
29285;101426011;0;70;76;Гурьнева Наталья Тимуровна
29286;101432532;0;84;105;Загоровская Любовь Радиковна
29287;101441762;0;63;75;Ардаматская Вероника Павловна
29288;101350065;0;76;0;Хмельницкая Карина Ивановна
29289;101361557;0;66;80;Дронникова Елена Руслановна
29290;101423838;0;76;36;Софотерова Ангелина Владимировна
29291;101406454;0;62;33;Неверовская Валентина Константиновна
29292;101429527;0;64;70;Ривина Кира Тимофеевна
29294;101377869;0;60;63;Почукалина Анна Германовна
29295;101395122;0;77;121;Абузярова Алена Германовна
29296;101372000;0;62;112;Демичева Эльмира Вячеславовна
29297;101399070;0;64;22;Ермилова Эльмира Владиславовна
29298;101364649;0;65;69;Евстратьева Елена Денисовна
29299;101445673;0;60;137;Аксарина Маргарита Ивановна
29300;101354888;0;77;136;Шерапова Галина Александровна
29301;101364557;0;69;117;Половина Алиса Евгеньевна
29302;101389591;0;67;116;Добкина Вероника Витальевна
29303;101409057;0;73;30;Халиуллина Римма Алексеевна
29304;101441063;0;66;61;Клинова Светлана Анатольевна
29306;101405253;0;59;105;Гуленкова Алла Борисовна
29307;101410351;0;64;91;Ломаева Жанна Валерьевна
29308;101378822;0;74;109;Дубоносова Ксения Федоровна
29309;101347350;0;77;5;Новгородская Алина Михаиловна
29310;101371057;0;63;56;Ерышева Ксения Вадимовна
29312;101356461;0;67;80;Симухина Римма Леонидовна
29313;101378376;0;68;81;Клепцова Алла Валентиновна
29314;101427951;0;57;64;Калабердина Валерия Евгеньевна
29315;101381907;0;61;82;Пронько Карина Степановна
29317;101367066;0;69;7;Жидовская Полина Валерьевна
29318;101395839;0;62;46;Есипенко Лариса Владиславовна
29319;101384989;0;67;22;Кедрова Кира Дмитриевна
29320;101420741;0;63;20;Кореневская Алена Семеновна
29321;101356336;0;91;79;Апанина Лариса Петровна
29322;101367518;0;74;42;Палаева Марина Ярославовна
29323;101435343;0;81;42;Козельская Юлия Васильевна
29324;101425588;0;68;66;Кимеева Наталья Альбертовна
29325;101448430;0;72;10;Бакутина Алиса Рамилевна
29326;101424217;0;64;105;Станюкович Жанна Федоровна
29327;101404732;0;66;0;Веденина Яна Яковлевна
29328;101374466;0;68;107;Дворник Екатерина Сергеевна
29329;101386287;0;77;20;Фатхуллина Екатерина Павловна
29330;101425907;0;60;10;Безгузикова Евгения Андреевна
29331;101355733;0;63;89;Федотчева Любовь Тимуровна
29332;101361835;0;60;60;Хасханова Лилия Аркадьевна
29333;101359162;0;84;25;Цурко Яна Владимировна
29334;101365902;0;67;117;Прокопец Алиса Федоровна
29335;101445489;0;61;136;Саванова Римма Тимофеевна
29336;101394830;0;70;117;Шагиева Ксения Александровна
29337;101425921;0;58;22;Родная Ксения Никитовна
29338;101441400;0;65;133;Фридман Антонина Григорьевна
29339;101432050;0;52;50;Пометун Карина Марселевна
29341;101436286;0;63;102;Станюкович Карина Рамилевна
29342;101427539;0;67;127;Тананыкина Гульнара Денисовна
29343;101378782;0;80;34;Тараненко Мария Геннадьевна
29344;101370154;0;60;7;Игнатущенко Дарья Германовна
29345;101400726;0;63;107;Мухортова Полина Викторовна
29346;101412334;0;62;24;Огнева Ангелина Петровна
29347;101399336;0;69;51;Толстякова Ольга Альбертовна
29348;101409700;0;72;60;Женина Валентина Федоровна
29349;101365333;0;76;20;Борецкая Светлана Валентиновна
29350;101384076;0;74;51;Балбошина Олеся Борисовна
29351;101421466;0;59;64;Лисник Лариса Антоновна
29352;101431558;0;58;5;Бабенко Ангелина Леонидовна
29353;101388404;0;59;64;Камышева Оксана Максимовна
29354;101425205;0;72;32;Юрченко Анастасия Альбертовна
29355;101408709;0;63;117;Баймурзина Эльмира Владимировна
29356;101447372;0;64;65;Егорнова Лилия Ефимовна
29357;101372927;0;72;91;Шанько Маргарита Анатольевна
29358;101414801;0;65;81;Тотева Лидия Викторовна
29359;101420193;0;70;5;Гудилина Жанна Ильдаровна
29361;101387399;0;61;116;Васяшина Вероника Петровна
29362;101440461;0;73;58;Шершавина Елизавета Ярославовна
